score_col,threshold,min_points,max_gap_minutes,min_precision,max_false_alarm,min_point_f1_delta,mean_point_f1_delta,min_event_f1_delta,mean_event_f1_delta,min_weak_recall_delta,mean_weak_recall_delta,passes_discovery
weak7_geom,0.25,3,90,0.49504950495049505,0.04932668222398253,-0.030899620376092618,0.011470785478853315,-0.213657876943881,-0.20915451986728936,0.08333333333333333,0.2916666666666667,False
weak7_geom,0.25,3,180,0.4636363636363636,0.05343723907598107,-0.0375828392047437,0.00794989029421525,-0.23184658478776132,-0.22905968460004036,0.08333333333333333,0.2916666666666667,False
weak7_geom,0.25,4,90,0.6323529411764706,0.03802265088098653,0.004007251216486929,0.03462668948938946,-0.1537667698658411,-0.13782965598344185,0.08333333333333333,0.2916666666666667,False
weak7_geom,0.25,4,180,0.6231884057971014,0.04007792930698581,0.00014215988248111877,0.03142508363914981,-0.1659125188536953,-0.15577364410088507,0.08333333333333333,0.2916666666666667,False
weak7_geom,0.25,6,90,0.7621951219512195,0.02363570189899163,0.04129546169164655,0.0542951876538455,-0.046805819101834345,-0.021380664859309506,0.08333333333333333,0.2916666666666667,False
weak7_geom,0.25,6,180,0.7621951219512195,0.02363570189899163,0.04129546169164655,0.0542951876538455,-0.046805819101834345,-0.021380664859309506,0.08333333333333333,0.2916666666666667,False
weak7_geom,0.3,2,90,0.45,0.05754779592797962,-0.03131019036954097,-0.00043805533350543824,-0.2485036119711042,-0.2321329429364565,0.08333333333333333,0.2916666666666667,False
weak7_geom,0.3,2,180,0.43636363636363634,0.06268599199297781,-0.03696808510638305,0.0012315062192738008,-0.26745098039215687,-0.24374337928373502,0.16666666666666669,0.33333333333333337,False
weak7_geom,0.3,3,90,0.6197183098591549,0.03185681560298872,0.0042356185973206895,0.022823241940847297,-0.12189254210104261,-0.11752890410374256,0.08333333333333333,0.2916666666666667,False
weak7_geom,0.3,3,180,0.6081081081081081,0.032884454815988354,0.0028991204363421064,0.023842445071184062,-0.13798449612403108,-0.1291966114975306,0.08333333333333333,0.2916666666666667,False
weak7_geom,0.3,4,90,0.7134502923976608,0.026718619537990537,0.016330946370614496,0.030750345312306665,-0.07360482654600298,-0.05341370895406461,0.08333333333333333,0.2916666666666667,False
weak7_geom,0.3,4,180,0.7134502923976608,0.026718619537990537,0.016330946370614496,0.030750345312306665,-0.07360482654600298,-0.05341370895406461,0.08333333333333333,0.2916666666666667,False
weak7_geom,0.3,6,90,0.7880794701986755,0.018497505833993448,0.031129879270207272,0.035197077544908154,-0.02030812324929976,-0.001368531908887638,0.08333333333333333,0.20833333333333334,False
weak7_geom,0.3,6,180,0.7880794701986755,0.018497505833993448,0.031129879270207272,0.035197077544908154,-0.02030812324929976,-0.001368531908887638,0.08333333333333333,0.20833333333333334,False
weak7_geom,0.35,2,90,0.4861111111111111,0.03802265088098653,-0.014835057583447275,-0.010139864946080823,-0.17411764705882354,-0.1598762082034492,0.08333333333333333,0.20833333333333334,False
weak7_geom,0.35,2,180,0.475,0.04007792930698581,-0.017390459535606806,-0.0056739748503041865,-0.18589253883371532,-0.1679991235394793,0.16666666666666669,0.25,False
weak7_geom,0.35,3,90,0.6296296296296297,0.02363570189899163,-0.002104848723462255,0.0022704338114695882,-0.07634927599824493,-0.07321160360503698,0.08333333333333333,0.20833333333333334,False
weak7_geom,0.35,3,180,0.625,0.02363570189899163,0.002274301894749503,0.004460009120575467,-0.08613264427217926,-0.07810328774200415,0.08333333333333333,0.20833333333333334,False
weak7_geom,0.35,4,90,0.7391304347826086,0.02158042347299236,-0.0025677736624233616,0.006767430417085649,-0.05117979395147887,-0.04530678271891442,0.0,0.16666666666666669,False
weak7_geom,0.35,4,180,0.7391304347826086,0.02158042347299236,-0.0025677736624233616,0.006767430417085649,-0.05117979395147887,-0.04530678271891442,0.0,0.16666666666666669,False
weak7_geom,0.35,6,90,0.7905405405405406,0.017469866620993812,-0.0005193088471343588,0.012506303023241294,-0.01374207188160681,-0.01150561704597275,0.0,0.16666666666666669,False
weak7_geom,0.35,6,180,0.7905405405405406,0.017469866620993812,-0.0005193088471343588,0.012506303023241294,-0.01374207188160681,-0.01150561704597275,0.0,0.16666666666666669,False
weak7_geom,0.4,2,90,0.6,0.02877389796398981,-0.007973903588256614,-0.0041163714762736114,-0.13192389006342503,-0.12211167765203337,0.0,0.16666666666666669,False
weak7_geom,0.4,2,180,0.603448275862069,0.029801537176989447,-0.0016525511258005388,-0.00018957144305008222,-0.14036544850498345,-0.1301768711649881,0.0,0.16666666666666669,False
weak7_geom,0.4,3,90,0.7548387096774194,0.019525145046993087,-0.0020599250936329805,0.006446322355911402,-0.0514596734289956,-0.04120971287548847,0.0,0.16666666666666669,False
weak7_geom,0.4,3,180,0.7548387096774194,0.019525145046993087,0.0029723925425627906,0.008962481174009287,-0.0514596734289956,-0.04120971287548847,0.0,0.16666666666666669,False
weak7_geom,0.4,4,90,0.7785234899328859,0.017469866620993812,0.0,0.00944114926266526,-0.009269162210338688,-0.004634581105169344,0.0,0.16666666666666669,False
weak7_geom,0.4,4,180,0.7785234899328859,0.017469866620993812,0.0,0.00944114926266526,-0.009269162210338688,-0.004634581105169344,0.0,0.16666666666666669,False
weak7_geom,0.4,6,90,0.7972027972027972,0.016442227407994177,0.0,0.008869853550704576,0.0,0.001089324618736398,0.0,0.16666666666666669,True
weak7_geom,0.4,6,180,0.7972027972027972,0.016442227407994177,0.0,0.008869853550704576,0.0,0.001089324618736398,0.0,0.16666666666666669,True
weak7_geom,0.5,2,90,0.7333333333333333,0.019525145046993087,-0.0030728164380160183,0.004736042734293969,-0.07403891789273853,-0.052499335107359935,0.0,0.16666666666666669,False
weak7_geom,0.5,2,180,0.717391304347826,0.019525145046993087,-0.0035750766087844776,0.004484912648909739,-0.08465116279069773,-0.057805457556339535,0.0,0.16666666666666669,False
weak7_geom,0.5,3,90,0.8115942028985508,0.015414588194994541,0.0,0.007502799552071615,0.0,0.007029226785053688,0.0,0.16666666666666669,True
weak7_geom,0.5,3,180,0.8115942028985508,0.015414588194994541,0.0,0.007502799552071615,0.0,0.007029226785053688,0.0,0.16666666666666669,True
weak7_geom,0.5,4,90,0.8102189781021898,0.015414588194994541,0.0,0.005641946892718797,0.0,0.007029226785053688,0.0,0.16666666666666669,True
