score_col,threshold,min_points,max_gap_minutes,weather_guard,tune_min_precision,tune_max_false_alarm,tune_min_point_f1_delta,tune_mean_point_f1_delta,tune_min_event_f1_delta,tune_mean_event_f1_delta,tune_mean_weak_episode_recall_delta,all_min_precision,all_max_false_alarm,all_min_point_f1_delta,all_mean_point_f1_delta,all_min_event_f1_delta,all_mean_event_f1_delta,all_mean_weak_episode_recall_delta,passes_tune_gates,passes_all_gates
weak_consensus_min,0.45,2,90,False,0.7941176470588235,0.013150234581007501,-0.0015077271013945737,-0.0007538635506972868,-0.011180992313067795,-0.005590496156533897,0.0,0.7941176470588235,0.017419113394345587,-0.0015077271013945737,-0.0005025757004648579,-0.011180992313067795,-0.0037269974376892647,0.0,False,False
weak_consensus_min,0.45,2,180,True,0.7941176470588235,0.013150234581007501,-0.0015077271013945737,0.005930679640262282,-0.011180992313067795,-0.010508528943419138,0.0,0.7941176470588235,0.017419113394345587,-0.0015077271013945737,0.003953786426841521,-0.011180992313067795,-0.007005685962279425,0.0,False,False
weak_consensus_min,0.45,2,180,False,0.7941176470588235,0.013150234581007501,-0.0015077271013945737,0.005930679640262282,-0.011180992313067795,-0.010508528943419138,0.0,0.7941176470588235,0.017419113394345587,-0.0015077271013945737,0.003953786426841521,-0.011180992313067795,-0.007005685962279425,0.0,False,False
weak_consensus_min,0.45,3,90,True,0.8,0.012328344919694532,0.0,0.0,0.0,0.0,0.0,0.8,0.017419113394345587,0.0,0.0,0.0,0.0,0.0,False,False
weak_consensus_min,0.45,3,90,False,0.8,0.012328344919694532,0.0,0.0,0.0,0.0,0.0,0.8,0.017419113394345587,0.0,0.0,0.0,0.0,0.0,False,False
weak_consensus_min,0.45,3,180,True,0.8,0.012328344919694532,0.0,0.005552395916675501,0.0,0.005084745762711895,0.0,0.8,0.017419113394345587,0.0,0.003701597277783667,0.0,0.003389830508474597,0.0,False,False
weak_consensus_min,0.45,3,180,False,0.8,0.012328344919694532,0.0,0.005552395916675501,0.0,0.005084745762711895,0.0,0.8,0.017419113394345587,0.0,0.003701597277783667,0.0,0.003389830508474597,0.0,False,False
weak_consensus_min,0.45,4,90,True,0.8,0.012328344919694532,0.0,0.0,0.0,0.0,0.0,0.8,0.017419113394345587,0.0,0.0,0.0,0.0,0.0,False,False
weak_consensus_min,0.45,4,90,False,0.8,0.012328344919694532,0.0,0.0,0.0,0.0,0.0,0.8,0.017419113394345587,0.0,0.0,0.0,0.0,0.0,False,False
weak_consensus_min,0.45,4,180,True,0.8,0.012328344919694532,0.0,0.0037097148156735316,0.0,0.005084745762711895,0.0,0.8,0.017419113394345587,0.0,0.002473143210449021,0.0,0.003389830508474597,0.0,False,False
weak_consensus_min,0.45,4,180,False,0.8,0.012328344919694532,0.0,0.0037097148156735316,0.0,0.005084745762711895,0.0,0.8,0.017419113394345587,0.0,0.002473143210449021,0.0,0.003389830508474597,0.0,False,False
weak_consensus_min,0.45,6,90,True,0.8,0.012328344919694532,0.0,0.0,0.0,0.0,0.0,0.8,0.017419113394345587,0.0,0.0,0.0,0.0,0.0,False,False
weak_consensus_min,0.45,6,90,False,0.8,0.012328344919694532,0.0,0.0,0.0,0.0,0.0,0.8,0.017419113394345587,0.0,0.0,0.0,0.0,0.0,False,False
weak_consensus_min,0.45,6,180,True,0.8,0.012328344919694532,0.0,0.0018589340175243219,0.0,0.005084745762711895,0.0,0.8,0.017419113394345587,0.0,0.0012392893450162146,0.0,0.003389830508474597,0.0,False,False
weak_consensus_min,0.45,6,180,False,0.8,0.012328344919694532,0.0,0.0018589340175243219,0.0,0.005084745762711895,0.0,0.8,0.017419113394345587,0.0,0.0012392893450162146,0.0,0.003389830508474597,0.0,False,False
weak_consensus_min,0.55,2,90,True,0.8,0.012328344919694532,0.0,0.0,0.0,0.0,0.0,0.8,0.017419113394345587,0.0,0.0,0.0,0.0,0.0,False,False
weak_consensus_min,0.55,2,90,False,0.8,0.012328344919694532,0.0,0.0,0.0,0.0,0.0,0.8,0.017419113394345587,0.0,0.0,0.0,0.0,0.0,False,False
weak_consensus_min,0.55,2,180,True,0.8,0.012328344919694532,0.0,0.0,0.0,0.0,0.0,0.8,0.017419113394345587,0.0,0.0,0.0,0.0,0.0,False,False
weak_consensus_min,0.55,2,180,False,0.8,0.012328344919694532,0.0,0.0,0.0,0.0,0.0,0.8,0.017419113394345587,0.0,0.0,0.0,0.0,0.0,False,False
weak_consensus_min,0.55,3,90,True,0.8,0.012328344919694532,0.0,0.0,0.0,0.0,0.0,0.8,0.017419113394345587,0.0,0.0,0.0,0.0,0.0,False,False
weak_consensus_min,0.55,3,90,False,0.8,0.012328344919694532,0.0,0.0,0.0,0.0,0.0,0.8,0.017419113394345587,0.0,0.0,0.0,0.0,0.0,False,False
weak_consensus_min,0.55,3,180,True,0.8,0.012328344919694532,0.0,0.0,0.0,0.0,0.0,0.8,0.017419113394345587,0.0,0.0,0.0,0.0,0.0,False,False
weak_consensus_min,0.55,3,180,False,0.8,0.012328344919694532,0.0,0.0,0.0,0.0,0.0,0.8,0.017419113394345587,0.0,0.0,0.0,0.0,0.0,False,False
weak_consensus_min,0.55,4,90,True,0.8,0.012328344919694532,0.0,0.0,0.0,0.0,0.0,0.8,0.017419113394345587,0.0,0.0,0.0,0.0,0.0,False,False
weak_consensus_min,0.55,4,90,False,0.8,0.012328344919694532,0.0,0.0,0.0,0.0,0.0,0.8,0.017419113394345587,0.0,0.0,0.0,0.0,0.0,False,False
weak_consensus_min,0.55,4,180,True,0.8,0.012328344919694532,0.0,0.0,0.0,0.0,0.0,0.8,0.017419113394345587,0.0,0.0,0.0,0.0,0.0,False,False
weak_consensus_min,0.55,4,180,False,0.8,0.012328344919694532,0.0,0.0,0.0,0.0,0.0,0.8,0.017419113394345587,0.0,0.0,0.0,0.0,0.0,False,False
weak_consensus_min,0.55,6,90,True,0.8,0.012328344919694532,0.0,0.0,0.0,0.0,0.0,0.8,0.017419113394345587,0.0,0.0,0.0,0.0,0.0,False,False
weak_consensus_min,0.55,6,90,False,0.8,0.012328344919694532,0.0,0.0,0.0,0.0,0.0,0.8,0.017419113394345587,0.0,0.0,0.0,0.0,0.0,False,False
weak_consensus_min,0.55,6,180,True,0.8,0.012328344919694532,0.0,0.0,0.0,0.0,0.0,0.8,0.017419113394345587,0.0,0.0,0.0,0.0,0.0,False,False
weak_consensus_min,0.55,6,180,False,0.8,0.012328344919694532,0.0,0.0,0.0,0.0,0.0,0.8,0.017419113394345587,0.0,0.0,0.0,0.0,0.0,False,False
weak_consensus_min,0.65,2,90,True,0.8,0.012328344919694532,0.0,0.0,0.0,0.0,0.0,0.8,0.017419113394345587,0.0,0.0,0.0,0.0,0.0,False,False
weak_consensus_min,0.65,2,90,False,0.8,0.012328344919694532,0.0,0.0,0.0,0.0,0.0,0.8,0.017419113394345587,0.0,0.0,0.0,0.0,0.0,False,False
weak_consensus_min,0.65,2,180,True,0.8,0.012328344919694532,0.0,0.0,0.0,0.0,0.0,0.8,0.017419113394345587,0.0,0.0,0.0,0.0,0.0,False,False
