ratio_threshold,recent_regularity,historical_q999_multiplier,tp,fp,fn,precision,recall,f1,false_gap_alerts_per_station_day
10.0,0.9,1.0,3,24,4,0.1111111111111111,0.42857142857142855,0.17647058823529413,0.009773313424731913
12.0,0.9,0.0,3,24,4,0.1111111111111111,0.42857142857142855,0.17647058823529413,0.009773313424731913
8.0,0.5,1.0,6,55,1,0.09836065573770492,0.8571428571428571,0.17647058823529413,0.02239717659834397
8.0,0.95,1.0,2,14,5,0.125,0.2857142857142857,0.17391304347826086,0.005701099497760283
15.0,0.5,2.0,2,14,5,0.125,0.2857142857142857,0.17391304347826086,0.005701099497760283
6.0,0.9,1.5,3,25,4,0.10714285714285714,0.42857142857142855,0.17142857142857143,0.010180534817429076
15.0,0.5,1.0,3,25,4,0.10714285714285714,0.42857142857142855,0.17142857142857143,0.010180534817429076
10.0,0.8,0.0,6,57,1,0.09523809523809523,0.8571428571428571,0.17142857142857143,0.023211619383738294
2.5,0.95,2.0,2,15,5,0.11764705882352941,0.2857142857142857,0.16666666666666666,0.006108320890457446
3.0,0.95,2.0,2,15,5,0.11764705882352941,0.2857142857142857,0.16666666666666666,0.006108320890457446
4.0,0.95,2.0,2,15,5,0.11764705882352941,0.2857142857142857,0.16666666666666666,0.006108320890457446
5.0,0.95,2.0,2,15,5,0.11764705882352941,0.2857142857142857,0.16666666666666666,0.006108320890457446
6.0,0.95,2.0,2,15,5,0.11764705882352941,0.2857142857142857,0.16666666666666666,0.006108320890457446
8.0,0.95,0.0,2,15,5,0.11764705882352941,0.2857142857142857,0.16666666666666666,0.006108320890457446
8.0,0.9,1.0,3,26,4,0.10344827586206896,0.42857142857142855,0.16666666666666663,0.01058775621012624
6.0,0.8,1.0,7,72,0,0.08860759493670886,1.0,0.1627906976744186,0.029319940274195738
2.5,0.9,1.5,3,27,4,0.1,0.42857142857142855,0.16216216216216217,0.010994977602823402
3.0,0.9,1.5,3,27,4,0.1,0.42857142857142855,0.16216216216216217,0.010994977602823402
4.0,0.9,1.5,3,27,4,0.1,0.42857142857142855,0.16216216216216217,0.010994977602823402
