ratio_threshold,recent_regularity,historical_q999_multiplier,tp,fp,fn,precision,recall,f1,false_gap_alerts_per_station_day
10.0,0.9,3.0,1,10,6,0.09090909090909091,0.14285714285714285,0.1111111111111111,0.00407221392697163
12.0,0.9,3.0,1,10,6,0.09090909090909091,0.14285714285714285,0.1111111111111111,0.00407221392697163
4.0,0.7,1.0,7,118,0,0.056,1.0,0.10606060606060606,0.04805212433826524
2.5,0.9,3.0,1,11,6,0.08333333333333333,0.14285714285714285,0.10526315789473685,0.0044794353196687935
3.0,0.9,3.0,1,11,6,0.08333333333333333,0.14285714285714285,0.10526315789473685,0.0044794353196687935
4.0,0.9,3.0,1,11,6,0.08333333333333333,0.14285714285714285,0.10526315789473685,0.0044794353196687935
5.0,0.9,3.0,1,11,6,0.08333333333333333,0.14285714285714285,0.10526315789473685,0.0044794353196687935
6.0,0.9,3.0,1,11,6,0.08333333333333333,0.14285714285714285,0.10526315789473685,0.0044794353196687935
8.0,0.9,3.0,1,11,6,0.08333333333333333,0.14285714285714285,0.10526315789473685,0.0044794353196687935
2.5,0.8,1.0,7,123,0,0.05384615384615385,1.0,0.10218978102189781,0.05008823130175105
3.0,0.8,1.0,7,123,0,0.05384615384615385,1.0,0.10218978102189781,0.05008823130175105
4.0,0.5,1.0,7,128,0,0.05185185185185185,1.0,0.09859154929577466,0.05212433826523687
2.5,0.7,1.0,7,131,0,0.050724637681159424,1.0,0.09655172413793105,0.05334600244332836
3.0,0.7,1.0,7,131,0,0.050724637681159424,1.0,0.09655172413793105,0.05334600244332836
6.0,0.9,1.0,3,54,4,0.05263157894736842,0.42857142857142855,0.09375,0.021989955205646804
6.0,0.98,1.5,1,14,6,0.06666666666666667,0.14285714285714285,0.09090909090909091,0.005701099497760283
6.0,0.95,1.0,2,35,5,0.05405405405405406,0.2857142857142857,0.09090909090909091,0.014252748744400707
2.5,0.5,1.0,7,141,0,0.0472972972972973,1.0,0.09032258064516129,0.05741821637029999
3.0,0.5,1.0,7,141,0,0.0472972972972973,1.0,0.09032258064516129,0.05741821637029999
20.0,0.7,0.0,3,61,4,0.046875,0.42857142857142855,0.08450704225352113,0.024840504954526946
2.5,0.98,1.5,1,16,6,0.058823529411764705,0.14285714285714285,0.08333333333333333,0.006515542283154609
3.0,0.98,1.5,1,16,6,0.058823529411764705,0.14285714285714285,0.08333333333333333,0.006515542283154609
4.0,0.98,1.5,1,16,6,0.058823529411764705,0.14285714285714285,0.08333333333333333,0.006515542283154609
5.0,0.98,1.5,1,16,6,0.058823529411764705,0.14285714285714285,0.08333333333333333,0.006515542283154609
6.0,0.98,1.0,1,16,6,0.058823529411764705,0.14285714285714285,0.08333333333333333,0.006515542283154609
6.0,0.95,0.0,2,40,5,0.047619047619047616,0.2857142857142857,0.08163265306122448,0.01628885570788652
6.0,0.98,0.0,1,17,6,0.05555555555555555,0.14285714285714285,0.08,0.006922763675851771
5.0,0.9,1.0,3,69,4,0.041666666666666664,0.42857142857142855,0.0759493670886076,0.02809827609610425
15.0,0.7,0.0,3,71,4,0.04054054054054054,0.42857142857142855,0.07407407407407408,0.028912718881498576
5.0,0.95,1.0,2,48,5,0.04,0.2857142857142857,0.07017543859649124,0.019546626849463827
12.0,0.7,0.0,6,163,1,0.03550295857988166,0.8571428571428571,0.06818181818181819,0.06637708700963758
10.0,0.7,0.0,6,175,1,0.03314917127071823,0.8571428571428571,0.06382978723404255,0.07126374372200353
4.0,0.9,1.0,3,85,4,0.03409090909090909,0.42857142857142855,0.0631578947368421,0.03461381837925886
5.0,0.95,0.0,2,58,5,0.03333333333333333,0.2857142857142857,0.05970149253731343,0.023618840776435456
5.0,0.98,1.0,1,26,6,0.037037037037037035,0.14285714285714285,0.058823529411764705,0.01058775621012624
8.0,0.7,0.0,6,197,1,0.029556650246305417,0.8571428571428571,0.05714285714285714,0.08022261436134112
4.0,0.95,1.0,2,61,5,0.031746031746031744,0.2857142857142857,0.057142857142857134,0.024840504954526946
2.5,0.9,1.0,3,97,4,0.03,0.42857142857142855,0.056074766355140186,0.03950047509162482
3.0,0.9,1.0,3,97,4,0.03,0.42857142857142855,0.056074766355140186,0.03950047509162482
30.0,0.5,0.0,3,104,4,0.028037383177570093,0.42857142857142855,0.05263157894736842,0.04235102484050496
