score_col,threshold,min_points,max_gap_minutes,min_precision,max_false_alarm,min_point_f1_delta,mean_point_f1_delta,min_event_f1_delta,mean_event_f1_delta,mean_weak_recall_delta,passes_discovery
weak6_min,0.8,2,360,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,False
weak6_min,0.8,3,90,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,False
weak6_min,0.8,3,180,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,False
weak6_min,0.8,3,360,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,False
weak6_min,0.8,4,90,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,False
weak6_min,0.8,4,180,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,False
weak6_min,0.8,4,360,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,False
weak6_min,0.8,6,90,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,False
weak6_min,0.8,6,180,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,False
weak6_min,0.8,6,360,0.8059701492537313,0.014386948981994906,0.0,0.0,0.0,0.0,0.0,False
weak6_geom,0.1,2,90,0.20535714285714285,0.10481919972596287,-0.11790931168219221,-0.06662355862204691,-0.3956959389101007,-0.3839138851830437,0.2916666666666667,False
weak6_geom,0.1,2,180,0.20502092050209206,0.11304031342995997,-0.12480365557618167,-0.0669689605986963,-0.3963178294573644,-0.39107903579724385,0.33333333333333337,False
weak6_geom,0.1,2,360,0.20502092050209206,0.1140679526429596,-0.1263075499893262,-0.06772090780526856,-0.3963178294573644,-0.3918844049247606,0.33333333333333337,False
weak6_geom,0.1,3,90,0.3409090909090909,0.054464878288980716,-0.04836366743570031,-0.01665574578211282,-0.27131782945736443,-0.25373223101171716,0.2916666666666667,False
weak6_geom,0.1,3,180,0.3382352941176471,0.05652015671497999,-0.05046808510638301,-0.016385417903539992,-0.28281208233092764,-0.26364216965941456,0.2916666666666667,False
weak6_geom,0.1,3,360,0.3382352941176471,0.05652015671497999,-0.05046808510638301,-0.016385417903539992,-0.28281208233092764,-0.26364216965941456,0.2916666666666667,False
weak6_geom,0.1,4,90,0.4943820224719101,0.04007792930698581,-0.00991666278690817,0.010719423629515973,-0.1659125188536953,-0.15947538920929327,0.2916666666666667,False
weak6_geom,0.1,4,180,0.4943820224719101,0.04007792930698581,-0.00991666278690817,0.010719423629515973,-0.1659125188536953,-0.15947538920929327,0.2916666666666667,False
weak6_geom,0.1,4,360,0.4943820224719101,0.039050290093986174,-0.01114930781380663,0.010103101116066743,-0.15991851285968928,-0.15647838621229027,0.2916666666666667,False
weak6_geom,0.1,6,90,0.6949152542372882,0.024663341111991265,0.03232803139847129,0.03250993967724186,-0.05602240896358546,-0.03867011921047492,0.2916666666666667,False
weak6_geom,0.1,6,180,0.6949152542372882,0.024663341111991265,0.03232803139847129,0.03250993967724186,-0.05602240896358546,-0.03867011921047492,0.2916666666666667,False
weak6_geom,0.1,6,360,0.6949152542372882,0.0256909803249909,0.03085879140693415,0.03177531968147329,-0.06495098039215674,-0.04313440492476056,0.2916666666666667,False
weak6_geom,0.2,2,90,0.4852941176470588,0.04521612537198399,-0.02195666958126885,-0.01796067828983186,-0.21281683405069346,-0.2056089984206956,0.16666666666666669,False
weak6_geom,0.2,2,180,0.49295774647887325,0.046243764584983624,-0.023215237725973004,-0.014098062509459344,-0.21781242617528945,-0.21123179448299356,0.16666666666666669,False
weak6_geom,0.2,2,360,0.49295774647887325,0.04727140379798326,-0.024468085106382986,-0.014724486199664336,-0.2226890756302521,-0.21367011921047488,0.16666666666666669,False
weak6_geom,0.2,3,90,0.7021276595744681,0.02363570189899163,-0.004074577108284988,0.002395335559332676,-0.07007393121182903,-0.06652921366793008,0.16666666666666669,False
weak6_geom,0.2,3,180,0.7083333333333334,0.02363570189899163,0.0009081114360474096,0.004886679831498875,-0.07007393121182903,-0.06652921366793008,0.16666666666666669,False
weak6_geom,0.2,3,360,0.7083333333333334,0.02363570189899163,0.0009081114360474096,0.004886679831498875,-0.07007393121182903,-0.06652921366793008,0.16666666666666669,False
weak6_geom,0.2,4,90,0.75,0.02158042347299236,-0.0015492472849050198,0.005961183050587127,-0.05117979395147887,-0.03246093291654284,0.16666666666666669,False
weak6_geom,0.2,4,180,0.75,0.02158042347299236,-0.0015492472849050198,0.005961183050587127,-0.05117979395147887,-0.03246093291654284,0.16666666666666669,False
weak6_geom,0.2,4,360,0.75,0.02158042347299236,-0.0015492472849050198,0.005961183050587127,-0.05117979395147887,-0.03246093291654284,0.16666666666666669,False
