"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AA2","AY1","AY2","AZ1","AZ2","GA1","GA2","GA3","GA4","GA5","GE1","GF1","KA1","KA2","MA1","MD1","ME1","MW1","OC1","OD1","REM","EQD"
"43295099999","2024-01-04T21:00:00","4","12.9666666","77.5833333","921.0","BANGALORE, IN","FM-12","99999","V020","090,1,N,0015,1","00360,1,C,N","004000,1,9,9","+0204,1","+0182,1","99999,9","18,0000,9,1",,"5,1,02,1","2,1,02,1",,,"03,1,+00300,1,07,1","03,1,+00360,1,06,1","05,1,+02400,1,03,1",,,"9,AGL   ,+99999,+99999","08,99,1,03,1,99,9,00300,1,99,9,99,9",,,"99999,9,09104,1",,"3,1510,9","02,1",,,"SYN09443295 21496 80903 10204 20182 39104 48510 70252 8667/ 333 56299 58003 6990/ 83710 83612 85358=","Q01  00002PRCP18"
"43295099999","2024-01-05T00:00:00","4","12.9666666","77.5833333","921.0","BANGALORE, IN","FM-12","99999","V020","090,1,N,0010,1","02400,1,9,N","004000,1,9,9","+0202,1","+0180,1","99999,9","21,0000,9,1",,"2,1,02,1","2,1,02,1",,,"01,1,+00300,1,07,1","03,1,+00360,1,06,1","05,1,+02400,1,03,1",,,"9,AGL   ,+99999,+99999","07,99,1,01,1,99,9,00300,1,99,9,99,9",,,"99999,9,09102,1",,"3,1508,9","10,1",,,"SYN09443295 21496 70902 10202 20180 39102 48508 71022 84630 333 56290 59004 6990/ 81710 83612 85358=","Q01  00002PRCP21"
"43295099999","2024-01-05T03:00:00","4","12.9666666","77.5833333","921.0","BANGALORE, IN","FM-12","99999","V020","090,1,N,0010,1","00450,1,C,N","004000,1,9,9","+0198,1","+0179,1","99999,9","24,0000,9,1",,"2,1,02,1","2,1,02,1",,,"02,1,+00240,1,07,1","03,1,+00450,1,06,1","05,1,+03000,1,03,1",,,"9,AGL   ,+99999,+99999","06,99,1,02,1,99,9,00240,1,99,9,99,9","240,M,+0253,1","240,N,+0189,1","99999,9,09124,1",,"3,1527,9","10,1",,,"SYN11643295 21396 60902 10198 20179 39124 48527 71022 84630 333 10253 20189 56290 59004 6990/ 82708 83615 85360 555 10000=","Q01  00002PRCP24"
"43295099999","2024-01-05T06:00:00","4","12.9666666","77.5833333","921.0","BANGALORE, IN","FM-12","99999","V020","070,1,N,0015,1","22000,1,9,N","010000,1,9,9","+0254,1","+0177,1","99999,9",,,,,,,"02,1,+00300,1,07,1","99,9,+99999,9,00,1",,,,"9,AGL   ,+99999,+99999","03,99,1,02,1,99,9,00300,1,99,9,99,9",,,"99999,9,09114,1",,"3,1529,9",,,,"SYN07043295 32497 30703 10254 20177 39114 48529 82601 333 56209 59010 82710=",
"43295099999","2024-01-05T09:00:00","4","12.9666666","77.5833333","921.0","BANGALORE, IN","FM-12","99999","V020","090,1,N,0010,1","02400,1,C,N","010000,1,9,9","+0258,1","+0179,1","99999,9",,,,,,,"04,1,+00360,1,06,1","03,1,+02400,1,03,1",,,,"9,AGL   ,+99999,+99999","06,99,1,04,1,99,9,00360,1,99,9,99,9",,,"99999,9,09093,1","9,9,999,9,-002,1","3,1509,9",,,,"SYN07043295 32497 60902 10258 20179 39093 48509 84530 333 59002 84612 83358=",
"43295099999","2024-01-05T12:00:00","4","12.9666666","77.5833333","921.0","BANGALORE, IN","FM-12","99999","V020","090,1,N,0021,1","02400,1,C,N","010000,1,9,9","+0240,1","+0178,1","99999,9",,,,,,,"04,1,+00450,1,06,1","03,1,+02400,1,03,1",,,,"9,AGL   ,+99999,+99999","06,99,1,04,1,99,9,00450,1,99,9,99,9",,,"99999,9,09095,1","9,9,999,9,-001,1","3,1507,9",,,,"SYN07643295 32497 60904 10240 20178 39095 48507 84530 333 10284 59001 84615 83358=",
"43295099999","2024-01-05T15:00:00","4","12.9666666","77.5833333","921.0","BANGALORE, IN","FM-12","99999","V020","090,1,N,0021,1","02400,1,C,N","004000,1,9,9","+0220,1","+0183,1","99999,9",,,,,,,"03,1,+00360,1,06,1","05,1,+02400,1,03,1","99,9,+99999,9,00,1",,,"9,AGL   ,+99999,+99999","06,99,1,03,1,99,9,00360,1,99,9,99,9",,,"99999,9,09115,1","9,9,999,9,-001,1","3,1522,9",,,,"SYN07043295 32496 60904 10220 20183 39115 48522 83531 333 59001 83612 85358=",
"43295099999","2024-01-05T18:00:00","4","12.9666666","77.5833333","921.0","BANGALORE, IN","FM-12","99999","V020","090,1,N,0021,1","02400,1,C,N","004000,1,9,9","+0210,1","+0182,1","99999,9",,,,,,,"03,1,+00360,1,06,1","05,1,+02400,1,03,1","99,9,+99999,9,00,1",,,"9,AGL   ,+99999,+99999","06,99,1,03,1,99,9,00360,1,99,9,99,9",,,"99999,9,09117,1","9,9,999,9,-005,1","3,1522,9",,,,"SYN07043295 32496 60904 10210 20182 39117 48522 83531 333 59005 83612 85358=",
"43295099999","2024-01-05T21:00:00","4","12.9666666","77.5833333","921.0","BANGALORE, IN","FM-12","99999","V020","050,1,N,0015,1","00360,1,C,N","004000,1,9,9","+0200,1","+0178,1","99999,9",,,"2,1,02,1","2,1,02,1",,,"02,1,+00300,1,07,1","03,1,+00360,1,06,1","04,1,+02400,1,03,1",,,"9,AGL   ,+99999,+99999","07,99,1,02,1,99,9,00300,1,99,9,99,9",,,"99999,9,09106,1",,"3,1510,9","10,1",,,"SYN08843295 31496 70503 10200 20178 39106 48510 71022 85631 333 56299 58002 82710 83612 84358=",
"43295099999","2024-01-06T00:00:00","4","12.9666666","77.5833333","921.0","BANGALORE, IN","FM-12","99999","V020","140,1,N,0015,1","00360,1,C,N","004000,1,9,9","+0196,1","+0184,1","99999,9",,,"2,1,02,1","2,1,02,1",,,"02,1,+00300,1,07,1","03,1,+00360,1,06,1","03,1,+02400,1,03,1",,,"9,AGL   ,+99999,+99999","06,99,1,02,1,99,9,00300,1,99,9,99,9",,,"99999,9,09103,1",,"3,1507,9","10,1",,,"SYN08843295 31496 61403 10196 20184 39103 48507 71022 84631 333 56299 58001 82710 83612 83358=",
