"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","ED1","GA1","GA2","GA3","GA4","GE1","GF1","MA1","MW1","MW2","OC1","REM","EQD"
"43128599999","2023-01-01T17:30:00","4","17.2333333","78.4166666","617.0","HYDERABAD INTERNATIONAL AIRPORT, IN","FM-15","99999","V020","100,1,N,0026,1","99999,9,9,N","005000,1,9,9","+0210,1","+0170,1","99999,9",,"04,1,+00610,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00610,1,99,9,99,9","10190,1,99999,9","05,1",,,"MET060METAR VOHS 011730Z 10005KT 5000 HZ SCT020 21/17 Q1019 NOSIG=",
"43128599999","2023-01-01T18:00:00","4","17.2333333","78.4166666","617.0","HYDERABAD INTERNATIONAL AIRPORT, IN","FM-15","99999","V020","090,1,N,0031,1","99999,9,9,N","005000,1,9,9","+0210,1","+0170,1","99999,9",,"04,1,+00610,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00610,1,99,9,99,9","10190,1,99999,9","05,1",,,"MET060METAR VOHS 011800Z 09006KT 5000 HZ SCT020 21/17 Q1019 NOSIG=",
"43128599999","2023-01-01T18:30:00","4","17.2333333","78.4166666","617.0","HYDERABAD INTERNATIONAL AIRPORT, IN","FM-15","99999","V020","110,1,N,0026,1","99999,9,9,N","005000,1,9,9","+0210,1","+0170,1","99999,9",,"04,1,+00610,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00610,1,99,9,99,9","10190,1,99999,9","05,1",,,"MET065METAR VOHS 011830Z 11005KT 5000 HZ SCT020 21/17 Q1019 TEMPO 3000=",
"43128599999","2023-01-01T19:00:00","4","17.2333333","78.4166666","617.0","HYDERABAD INTERNATIONAL AIRPORT, IN","FM-15","99999","V020","110,1,N,0026,1","99999,9,9,N","005000,1,9,9","+0210,1","+0170,1","99999,9",,"04,1,+00610,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00610,1,99,9,99,9","10190,1,99999,9","05,1",,,"MET060METAR VOHS 011900Z 11005KT 5000 HZ SCT020 21/17 Q1019 NOSIG=",
"43128599999","2023-01-01T19:30:00","4","17.2333333","78.4166666","617.0","HYDERABAD INTERNATIONAL AIRPORT, IN","FM-15","99999","V020","120,1,N,0026,1","00457,1,C,N","005000,1,9,9","+0210,1","+0170,1","99999,9",,"02,1,+00305,1,99,9","04,1,+00457,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00305,1,99,9,99,9","10180,1,99999,9","05,1",,,"MET075METAR COR VOHS 011930Z 12005KT 5000 HZ FEW010 SCT015 21/17 Q1018 COR NOSIG=",
"43128599999","2023-01-01T20:00:00","4","17.2333333","78.4166666","617.0","HYDERABAD INTERNATIONAL AIRPORT, IN","FM-15","99999","V020","120,1,N,0031,1","00457,1,C,N","005000,1,9,9","+0200,1","+0170,1","99999,9",,"02,1,+00305,1,99,9","04,1,+00457,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00305,1,99,9,99,9","10180,1,99999,9","05,1",,,"MET067METAR VOHS 012000Z 12006KT 5000 HZ FEW010 SCT015 20/17 Q1018 NOSIG=",
"43128599999","2023-01-01T20:30:00","4","17.2333333","78.4166666","617.0","HYDERABAD INTERNATIONAL AIRPORT, IN","FM-15","99999","V020","120,1,N,0026,1","00457,1,C,N","005000,1,9,9","+0200,1","+0170,1","99999,9",,"02,1,+00305,1,99,9","04,1,+00457,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00305,1,99,9,99,9","10180,1,99999,9","10,1",,,"MET083METAR COR VOHS 012030Z 12005KT 5000 BR FEW010 SCT015 20/17 Q1018 COR TEMPO 3000 BR=",
"43128599999","2023-01-01T21:00:00","4","17.2333333","78.4166666","617.0","HYDERABAD INTERNATIONAL AIRPORT, IN","FM-15","99999","V020","120,1,N,0026,1","00457,1,C,N","005000,1,9,9","+0200,1","+0170,1","99999,9",,"02,1,+00305,1,99,9","04,1,+00457,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00305,1,99,9,99,9","10170,1,99999,9","10,1",,,"MET067METAR VOHS 012100Z 12005KT 5000 BR FEW010 SCT015 20/17 Q1017 NOSIG=",
"43128599999","2023-01-01T21:30:00","4","17.2333333","78.4166666","617.0","HYDERABAD INTERNATIONAL AIRPORT, IN","FM-15","99999","V020","130,1,N,0026,1","00457,1,C,N","005000,1,9,9","+0200,1","+0170,1","99999,9",,"02,1,+00305,1,99,9","04,1,+00457,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00305,1,99,9,99,9","10170,1,99999,9","10,1",,,"MET067METAR VOHS 012130Z 13005KT 5000 BR FEW010 SCT015 20/17 Q1017 NOSIG=",
"43128599999","2023-01-01T22:00:00","4","17.2333333","78.4166666","617.0","HYDERABAD INTERNATIONAL AIRPORT, IN","FM-15","99999","V020","120,1,N,0021,1","00457,1,C,N","005000,1,9,9","+0200,1","+0170,1","99999,9",,"02,1,+00305,1,99,9","04,1,+00457,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00305,1,99,9,99,9","10170,1,99999,9","10,1",,,"MET067METAR VOHS 012200Z 12004KT 5000 BR FEW010 SCT015 20/17 Q1017 NOSIG=",
