"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AW1","AW2","GA1","GA2","GA3","GA4","GE1","GF1","MA1","MW1","MW2","OC1","REM","EQD"
"43302599999","2023-01-02T13:00:00","4","12.949986","77.668206","887.57","BANGALORE, IN","FM-15","99999","V020","100,1,N,0026,1","22000,1,9,N","006000,1,9,9","+0230,1","+0130,1","99999,9",,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10190,1,99999,9",,,,"MET054METAR VOBG 021300Z 10005KT 6000 NSC 23/13 Q1019 NOSIG=",
"43302599999","2023-01-02T14:00:00","4","12.949986","77.668206","887.57","BANGALORE, IN","FM-15","99999","V020","110,1,N,0036,1","22000,1,9,N","006000,1,9,9","+0210,1","+0130,1","99999,9",,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10200,1,99999,9",,,,"MET054METAR VOBG 021400Z 11007KT 6000 NSC 21/13 Q1020 NOSIG=",
"43302599999","2023-01-02T15:00:00","4","12.949986","77.668206","887.57","BANGALORE, IN","FM-15","99999","V020","100,1,N,0031,1","22000,1,9,N","006000,1,9,9","+0200,1","+0140,1","99999,9",,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10210,1,99999,9",,,,"MET054METAR VOBG 021500Z 10006KT 6000 NSC 20/14 Q1021 NOSIG=",
"43302599999","2023-01-02T16:00:00","4","12.949986","77.668206","887.57","BANGALORE, IN","FM-15","99999","V020","100,1,N,0026,1","22000,1,9,N","006000,1,9,9","+0190,1","+0140,1","99999,9",,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10220,1,99999,9",,,,"MET054METAR VOBG 021600Z 10005KT 6000 NSC 19/14 Q1022 NOSIG=",
"43302599999","2023-01-02T17:00:00","4","12.949986","77.668206","887.57","BANGALORE, IN","FM-15","99999","V020","999,9,C,0000,1","22000,1,9,N","006000,1,9,9","+0190,1","+0140,1","99999,9",,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10220,1,99999,9",,,,"MET054METAR VOBG 021700Z 00000KT 6000 NSC 19/14 Q1022 NOSIG=",
"43302599999","2023-01-02T18:00:00","4","12.949986","77.668206","887.57","BANGALORE, IN","FM-15","99999","V020","080,1,N,0015,1","22000,1,9,N","006000,1,9,9","+0180,1","+0150,1","99999,9",,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10220,1,99999,9",,,,"MET054METAR VOBG 021800Z 08003KT 6000 NSC 18/15 Q1022 NOSIG=",
"43302599999","2023-01-03T00:00:00","4","12.949986","77.668206","887.57","BANGALORE, IN","FM-15","99999","V020","999,9,C,0000,1","99999,9,9,N","006000,1,9,9","+0160,1","+0150,1","99999,9",,,"04,1,+00366,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00366,1,99,9,99,9","10200,1,99999,9",,,,"MET057METAR VOBG 030000Z 00000KT 6000 SCT012 16/15 Q1020 NOSIG=",
"43302599999","2023-01-03T00:30:00","4","12.949986","77.668206","887.57","BANGALORE, IN","FM-15","99999","V020","999,9,C,0000,1","99999,9,9,N","006000,1,9,9","+0170,1","+0150,1","99999,9",,,"04,1,+00366,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00366,1,99,9,99,9","10200,1,99999,9",,,,"MET057METAR VOBG 030030Z 00000KT 6000 SCT012 17/15 Q1020 NOSIG=",
"43302599999","2023-01-03T01:00:00","4","12.949986","77.668206","887.57","BANGALORE, IN","FM-15","99999","V020","090,1,N,0021,1","00366,1,C,N","001500,1,9,9","+0170,1","+0160,1","99999,9",,,"04,1,+00244,1,99,9","04,1,+00366,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00244,1,99,9,99,9","10210,1,99999,9","10,1",,,"MET075METAR VOBG 030100Z 09004KT 1500 BR SCT008 SCT012 17/16 Q1021 TEMPO 0800 FG=",
"43302599999","2023-01-03T01:10:00","4","12.949986","77.668206","887.57","BANGALORE, IN","FM-15","99999","V020","080,1,N,0026,1","00152,1,C,N","000800,1,9,9","+0170,1","+0160,1","99999,9",,,"07,1,+00152,1,99,9","04,1,+00366,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,07,1,99,9,00152,1,99,9,99,9","10210,1,99999,9","44,1",,,"MET075METAR VOBG 030110Z 08005KT 0800 FG BKN005 SCT012 17/16 Q1021 TEMPO 0500 FG=",
"43302599999","2023-01-03T01:30:00","4","12.949986","77.668206","887.57","BANGALORE, IN","FM-15","99999","V020","120,1,N,0015,1","00152,1,C,N","000800,1,9,9","+0170,1","+0160,1","99999,9",,,"07,1,+00152,1,99,9","04,1,+00366,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,07,1,99,9,00152,1,99,9,99,9","10210,1,99999,9","44,1",,,"MET075METAR VOBG 030130Z 12003KT 0800 FG BKN005 SCT012 17/16 Q1021 TEMPO 0500 FG=",
"43302599999","2023-01-03T02:00:00","4","12.949986","77.668206","887.57","BANGALORE, IN","FM-15","99999","V020","999,9,V,0010,1","00366,1,C,N","001500,1,9,9","+0170,1","+0160,1","99999,9",,,"04,1,+00244,1,99,9","04,1,+00366,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00244,1,99,9,99,9","10210,1,99999,9","10,1",,,"MET067METAR VOBG 030200Z VRB02KT 1500 BR SCT008 SCT012 17/16 Q1021 NOSIG=",
"43302599999","2023-01-03T02:30:00","4","12.949986","77.668206","887.57","BANGALORE, IN","FM-15","99999","V020","999,9,V,0010,1","00366,1,C,N","002000,1,9,9","+0190,1","+0180,1","99999,9",,,"04,1,+00244,1,99,9","04,1,+00366,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00244,1,99,9,99,9","10220,1,99999,9","10,1",,,"MET075METAR VOBG 030230Z VRB02KT 2000 BR SCT008 SCT012 19/18 Q1022 BECMG 3000 BR=",
