station_id,station_name,state,district,climate_zone,cluster,evaluation_role,latitude,longitude,elevation_m,icao,wmo_id,wigos_id,is_benchmark,is_active_2024_plus,is_active_2020_plus,BEGIN,END
55D2C00A,KISHANKOT,PUNJAB,GURDASPUR,Indo-Gangetic Plains,indo-gangetic_plains,all_india_network,31.68,75.4,160.0,,,,0,1,1,20200101,20260925
55D2CED8,AMLOH,PUNJAB,FATEHGARH_SAHIB,Indo-Gangetic Plains,indo-gangetic_plains,all_india_network,30.6,76.23,160.0,,,,0,1,1,20200101,20260925
55D2D37C,ADAMPUR_FGH,PUNJAB,FATEHGARH_SAHIB,Indo-Gangetic Plains,indo-gangetic_plains,all_india_network,30.5844,76.4,160.0,,,,0,1,1,20200101,20260925
55D2DDAE,FATEHGARH_SAHIB_ARG,PUNJAB,FATEHGARH_SAHIB,Indo-Gangetic Plains,indo-gangetic_plains,all_india_network,30.6,76.51,160.0,,,,0,1,1,20200101,20260925
55D2E6E6,RAJPURA,PUNJAB,PATIALA,Indo-Gangetic Plains,indo-gangetic_plains,all_india_network,30.43,76.6,160.0,,,,0,1,1,20200101,20260925
55D2E834,NABHA,PUNJAB,PATIALA,Indo-Gangetic Plains,indo-gangetic_plains,all_india_network,30.39,76.19,160.0,,,,0,1,1,20200101,20260925
55D2F590,SAMANA,PUNJAB,PATIALA,Indo-Gangetic Plains,indo-gangetic_plains,all_india_network,30.15,76.2,160.0,,,,0,1,1,20200101,20260925
55D2FB42,BARNALA_ARG,PUNJAB,BARNALA,Indo-Gangetic Plains,indo-gangetic_plains,all_india_network,30.25,75.62,160.0,,,,0,1,1,20200101,20260925
55D3093C,DAYALPURA,PUNJAB,SANGRUR,Indo-Gangetic Plains,indo-gangetic_plains,all_india_network,30.2458,75.8421,160.0,,,,0,1,1,20200101,20260925
55D31498,UMRANGSHU,ASSAM,DIMA_HASAO,Northeast Hills,northeast_hills,all_india_network,25.51,92.73,650.0,,,,0,1,1,20200101,20260925
55D31A4A,TANGLA,ASSAM,UDALGURI,Northeast Hills,northeast_hills,all_india_network,26.6589,91.91,650.0,,,,0,1,1,20200101,20260925
55D32102,CHOULDHUAGHAT,ASSAM,LAKHIMPUR,Northeast Hills,northeast_hills,all_india_network,27.7333,94.4,650.0,,,,0,1,1,20200101,20260925
55D32FD0,PATHANKOT,PUNJAB,PATHANKOT,Indo-Gangetic Plains,indo-gangetic_plains,all_india_network,32.28,75.65,160.0,,,,0,1,1,20200101,20260925
55D33CA6,TEOK,ASSAM,JORHAT,Northeast Hills,northeast_hills,all_india_network,26.83,94.41,650.0,,,,0,1,1,20200101,20260925
55D344E4,GIDDERBAHA,PUNJAB,MUKTSAR,Indo-Gangetic Plains,indo-gangetic_plains,all_india_network,30.21,74.64,160.0,,,,0,1,1,20200101,20260925
