"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","GA1","GA2","GA3","GA4","GE1","GF1","MA1","MW1","MW2","OC1","REM","EQD"
"43302599999","2022-01-02T00:30:00","4","12.949986","77.668206","887.57","BANGALORE, IN","FM-15","99999","V020","090,1,N,0041,1","99999,9,9,N","006000,1,9,9","+0180,1","+0180,1","99999,9","04,1,+00366,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00366,1,99,9,99,9","10180,1,99999,9",,,,"MET057METAR VOBG 020030Z 09008KT 6000 SCT012 18/18 Q1018 NOSIG=",
"43302599999","2022-01-02T01:00:00","4","12.949986","77.668206","887.57","BANGALORE, IN","FM-15","99999","V020","090,1,N,0051,1","99999,9,9,N","004000,1,9,9","+0180,1","+0180,1","99999,9","04,1,+00366,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00366,1,99,9,99,9","10180,1,99999,9","10,1",,,"MET060METAR VOBG 020100Z 09010KT 4000 BR SCT012 18/18 Q1018 NOSIG=",
"43302599999","2022-01-02T01:30:00","4","12.949986","77.668206","887.57","BANGALORE, IN","FM-15","99999","V020","090,1,N,0041,1","99999,9,9,N","003000,1,9,9","+0180,1","+0180,1","99999,9","04,1,+00305,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00305,1,99,9,99,9","10190,1,99999,9","10,1",,,"MET060METAR VOBG 020130Z 09008KT 3000 BR SCT010 18/18 Q1019 NOSIG=",
"43302599999","2022-01-02T02:00:00","4","12.949986","77.668206","887.57","BANGALORE, IN","FM-15","99999","V020","090,1,N,0041,1","00366,1,C,N","003000,1,9,9","+0180,1","+0180,1","99999,9","02,1,+00305,1,99,9","04,1,+00366,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00305,1,99,9,99,9","10190,1,99999,9","10,1",,,"MET067METAR VOBG 020200Z 09008KT 3000 BR FEW010 SCT012 18/18 Q1019 NOSIG=",
"43302599999","2022-01-02T02:30:00","4","12.949986","77.668206","887.57","BANGALORE, IN","FM-15","99999","V020","090,1,N,0041,1","00366,1,C,N","003000,1,9,9","+0190,1","+0180,1","99999,9","04,1,+00305,1,99,9","04,1,+00366,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00305,1,99,9,99,9","10200,1,99999,9","10,1",,,"MET067METAR VOBG 020230Z 09008KT 3000 BR SCT010 SCT012 19/18 Q1020 NOSIG=",
"43302599999","2022-01-02T03:00:00","4","12.949986","77.668206","887.57","BANGALORE, IN","FM-15","99999","V020","090,1,N,0041,1","00366,1,C,N","004000,1,9,9","+0190,1","+0170,1","99999,9","04,1,+00305,1,99,9","04,1,+00366,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00305,1,99,9,99,9","10200,1,99999,9","10,1",,,"MET067METAR VOBG 020300Z 09008KT 4000 BR SCT010 SCT012 19/17 Q1020 NOSIG=",
"43302599999","2022-01-02T03:30:00","4","12.949986","77.668206","887.57","BANGALORE, IN","FM-15","99999","V020","090,1,N,0051,1","00366,1,C,N","004000,1,9,9","+0190,1","+0170,1","99999,9","02,1,+00305,1,99,9","04,1,+00366,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00305,1,99,9,99,9","10210,1,99999,9","10,1",,,"MET067METAR VOBG 020330Z 09010KT 4000 BR FEW010 SCT012 19/17 Q1021 NOSIG=",
"43302599999","2022-01-02T04:00:00","4","12.949986","77.668206","887.57","BANGALORE, IN","FM-15","99999","V020","110,1,N,0062,1","99999,9,9,N","005000,1,9,9","+0200,1","+0160,1","99999,9","04,1,+00366,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00366,1,99,9,99,9","10210,1,99999,9","10,1",,,"MET060METAR VOBG 020400Z 11012KT 5000 BR SCT012 20/16 Q1021 NOSIG=",
"43302599999","2022-01-02T04:30:00","4","12.949986","77.668206","887.57","BANGALORE, IN","FM-15","99999","V020","110,1,N,0067,1","99999,9,9,N","006000,1,9,9","+0210,1","+0160,1","99999,9","04,1,+00366,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00366,1,99,9,99,9","10210,1,99999,9",,,,"MET057METAR VOBG 020430Z 11013KT 6000 SCT012 21/16 Q1021 NOSIG=",
"43302599999","2022-01-02T05:00:00","4","12.949986","77.668206","887.57","BANGALORE, IN","FM-15","99999","V020","090,1,N,0062,1","99999,9,9,N","006000,1,9,9","+0220,1","+0160,1","99999,9","02,1,+00366,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00366,1,99,9,99,9","10200,1,99999,9",,,,"MET057METAR VOBG 020500Z 09012KT 6000 FEW012 22/16 Q1020 NOSIG=",
"43302599999","2022-01-02T05:30:00","4","12.949986","77.668206","887.57","BANGALORE, IN","FM-15","99999","V020","090,1,N,0051,1","99999,9,9,N","006000,1,9,9","+0230,1","+0150,1","99999,9","02,1,+00366,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00366,1,99,9,99,9","10200,1,99999,9",,,,"MET057METAR VOBG 020530Z 09010KT 6000 FEW012 23/15 Q1020 NOSIG=",
"43302599999","2022-01-02T06:00:00","4","12.949986","77.668206","887.57","BANGALORE, IN","FM-15","99999","V020","090,1,N,0067,1","99999,9,9,N","008000,1,9,9","+0250,1","+0130,1","99999,9","02,1,+00366,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00366,1,99,9,99,9","10190,1,99999,9",,,,"MET057METAR VOBG 020600Z 09013KT 8000 FEW012 25/13 Q1019 NOSIG=",
"43302599999","2022-01-02T06:30:00","4","12.949986","77.668206","887.57","BANGALORE, IN","FM-15","99999","V020","090,1,N,0051,1","99999,9,9,N","009999,1,9,9","+0250,1","+0120,1","99999,9","04,1,+00366,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00366,1,99,9,99,9","10190,1,99999,9",,,,"MET057METAR VOBG 020630Z 09010KT 9999 SCT012 25/12 Q1019 NOSIG=",
"43302599999","2022-01-02T07:00:00","4","12.949986","77.668206","887.57","BANGALORE, IN","FM-15","99999","V020","100,1,N,0062,1","99999,9,9,N","009999,1,9,9","+0260,1","+0120,1","99999,9","04,1,+00366,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00366,1,99,9,99,9","10180,1,99999,9",,,,"MET057METAR VOBG 020700Z 10012KT 9999 SCT012 26/12 Q1018 NOSIG=",
"43302599999","2022-01-02T07:30:00","4","12.949986","77.668206","887.57","BANGALORE, IN","FM-15","99999","V020","100,1,N,0051,1","99999,9,9,N","009999,1,9,9","+0260,1","+0120,1","99999,9","04,1,+00366,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00366,1,99,9,99,9","10180,1,99999,9",,,,"MET057METAR VOBG 020730Z 10010KT 9999 SCT012 26/12 Q1018 NOSIG=",
"43302599999","2022-01-02T08:00:00","4","12.949986","77.668206","887.57","BANGALORE, IN","FM-15","99999","V020","090,1,N,0062,1","99999,9,9,N","009999,1,9,9","+0260,1","+0120,1","99999,9","04,1,+00366,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00366,1,99,9,99,9","10170,1,99999,9",,,,"MET057METAR VOBG 020800Z 09012KT 9999 SCT012 26/12 Q1017 NOSIG=",
"43302599999","2022-01-02T08:30:00","4","12.949986","77.668206","887.57","BANGALORE, IN","FM-15","99999","V020","110,1,N,0067,1","99999,9,9,N","009999,1,9,9","+0270,1","+0120,1","99999,9","04,1,+00366,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00366,1,99,9,99,9","10170,1,99999,9",,,,"MET057METAR VOBG 020830Z 11013KT 9999 SCT012 27/12 Q1017 NOSIG=",
"43302599999","2022-01-02T09:00:00","4","12.949986","77.668206","887.57","BANGALORE, IN","FM-15","99999","V020","100,1,N,0062,1","99999,9,9,N","009999,1,9,9","+0270,1","+0120,1","99999,9","04,1,+00366,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00366,1,99,9,99,9","10160,1,99999,9",,,,"MET057METAR VOBG 020900Z 10012KT 9999 SCT012 27/12 Q1016 NOSIG=",
"43302599999","2022-01-02T09:30:00","4","12.949986","77.668206","887.57","BANGALORE, IN","FM-15","99999","V020","100,1,N,0057,1","00549,1,C,N","009999,1,9,9","+0270,1","+0120,1","99999,9","02,1,+00366,1,99,9","04,1,+00549,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00366,1,99,9,99,9","10160,1,99999,9",,,,"MET064METAR VOBG 020930Z 10011KT 9999 FEW012 SCT018 27/12 Q1016 NOSIG=",
"43302599999","2022-01-02T10:00:00","4","12.949986","77.668206","887.57","BANGALORE, IN","FM-15","99999","V020","100,1,N,0057,1","00549,1,C,N","009999,1,9,9","+0270,1","+0130,1","99999,9","02,1,+00366,1,99,9","04,1,+00549,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00366,1,99,9,99,9","10160,1,99999,9",,,,"MET064METAR VOBG 021000Z 10011KT 9999 FEW012 SCT018 27/13 Q1016 NOSIG=",
