"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AY1","AY2","ED1","GA1","GA2","GA3","GA4","GE1","GF1","KA1","KA2","MA1","MD1","MW1","MW2","MW3","REM","EQD"
"42189099999","2022-01-06T06:00:00","4","28.422061","79.450842","176.78","BAREILLY, IN","FM-12","99999","V020","999,9,C,0000,1","22000,1,9,N","002000,1,9,9","+0178,1","+0151,1","10186,1",,"2,1,02,1","1,1,02,1",,"01,1,+00600,1,06,1","04,1,+03000,1,03,1",,,"9,AGL   ,+99999,+99999","04,99,1,01,1,99,9,00600,1,99,9,99,9",,,,"9,9,999,9,-002,1","05,1",,,"SYN07042189 31595 40000 10178 20151 40186 70521 81530 333 59002 81620 84360=",
"42189099999","2022-01-06T09:00:00","4","28.422061","79.450842","176.78","BAREILLY, IN","FM-12","99999","V020","140,1,N,0010,1","06000,1,C,N","002000,1,9,9","+0210,1","+0145,1","10143,1",,"2,1,02,1","1,1,02,1",,"03,1,+03000,1,03,1","05,1,+06000,1,00,1",,,"9,AGL   ,+99999,+99999","05,99,1,03,1,99,9,03000,1,99,9,99,9",,,,"9,9,999,9,-026,1","05,1",,,"SYN07042189 31995 51402 10210 20145 40143 70521 83031 333 59026 83360 85070=",
"42189099999","2022-01-06T12:00:00","4","28.422061","79.450842","176.78","BAREILLY, IN","FM-12","99999","V020","140,1,N,0010,1","00600,1,C,N","002000,1,9,9","+0190,1","+0160,1","10157,1",,"2,1,02,1","2,1,02,1",,"06,1,+00600,1,06,1","08,1,+02400,1,04,1",,,"9,AGL   ,+99999,+99999","08,99,1,06,1,99,9,00600,1,99,9,99,9",,,,"9,9,999,9,-012,1","05,1",,,"SYN07642189 31595 81402 10190 20160 40157 70522 8652/ 333 10215 59012 86620 88458=",
"42189099999","2022-01-06T15:00:00","4","28.422061","79.450842","176.78","BAREILLY, IN","FM-12","99999","V020","999,9,C,0000,1","00600,1,C,N","002000,1,9,9","+0170,1","+0150,1","10172,1","12,0002,3,1","6,1,02,1","2,1,02,1",,"05,1,+00600,1,06,1","08,1,+02400,1,04,1",,,"9,AGL   ,+99999,+99999","08,99,1,05,1,99,9,00600,1,99,9,99,9",,,,"9,9,999,9,+001,1","60,1",,,"SYN07642189 21595 80000 10170 20150 40172 76062 8552/ 333 58001 6992/ 85620 88458=",
"42189099999","2022-01-06T18:00:00","4","28.422061","79.450842","176.78","BAREILLY, IN","FM-12","99999","V020","999,9,C,0000,1","00600,1,C,N","002000,1,9,9","+0160,1","+0143,1","10177,1","15,0005,3,1","6,1,02,1","2,1,02,1",,"06,1,+00600,1,06,1","08,1,+02400,1,04,1",,,"9,AGL   ,+99999,+99999","08,99,1,06,1,99,9,00600,1,99,9,99,9",,,,"9,9,999,9,+008,1","05,1",,,"SYN07642189 21595 80000 10160 20143 40177 70562 8652/ 333 58008 6995/ 86620 88458=",
"42189099999","2022-01-06T21:00:00","4","28.422061","79.450842","176.78","BAREILLY, IN","FM-12","99999","V020","999,9,C,0000,1","00600,1,C,N","002000,1,9,9","+0152,1","+0141,1","10165,1","18,0005,3,1","2,1,02,1","2,1,02,1",,"06,1,+00600,1,06,1","08,1,+02400,1,04,1",,,"9,AGL   ,+99999,+99999","08,99,1,06,1,99,9,00600,1,99,9,99,9",,,,"9,9,999,9,-006,1","05,1",,,"SYN07642189 21595 80000 10152 20141 40165 70522 8652/ 333 59006 6995/ 86620 88458=",
"42189099999","2022-01-07T00:00:00","4","28.422061","79.450842","176.78","BAREILLY, IN","FM-12","99999","V020","999,9,C,0000,1","00600,1,C,N","002000,1,9,9","+0146,1","+0139,1","10164,1","21,0005,3,1","2,1,02,1","2,1,02,1",,"06,1,+00600,1,06,1","08,1,+02400,1,04,1",,,"9,AGL   ,+99999,+99999","08,99,1,06,1,99,9,00600,1,99,9,99,9",,,,"9,9,999,9,-003,1","05,1",,,"SYN07642189 21595 80000 10146 20139 40164 70522 8652/ 333 59003 6995/ 86620 88458=",
"42189099999","2022-01-07T03:00:00","4","28.422061","79.450842","176.78","BAREILLY, IN","FM-12","99999","V020","999,9,C,0000,1","00600,1,C,N","002000,1,9,9","+0150,1","+0139,1","10192,1","24,0008,3,1","6,1,02,1","2,1,02,1",,"06,1,+00600,1,06,1","07,1,+02400,1,04,1",,,"9,AGL   ,+99999,+99999","07,99,1,06,1,99,9,00600,1,99,9,99,9","240,M,+0215,1","240,N,+0133,1",,"9,9,999,9,+002,1","21,1",,,"SYN10442189 21595 70000 10150 20139 40192 72162 86520 333 10215 20133 58002 6998/ 86620 87458 555 00008 10009=",
"42189099999","2022-01-07T06:00:00","4","28.422061","79.450842","176.78","BAREILLY, IN","FM-12","99999","V020","999,9,C,0000,1","22000,1,9,N","004000,1,9,9","+0196,1","+0159,1","10192,1",,"6,1,02,1","2,1,02,1",,"04,1,+00600,1,06,1",,,,"9,AGL   ,+99999,+99999","04,99,1,04,1,99,9,00600,1,99,9,99,9",,,,"9,9,999,9,+007,1","05,1",,,"SYN06442189 31596 40000 10196 20159 40192 70562 84500 333 58007 84620=",
"42189099999","2022-01-07T09:00:00","4","28.422061","79.450842","176.78","BAREILLY, IN","FM-12","99999","V020","230,1,N,0010,1","00600,1,C,N","002000,1,9,9","+0206,1","+0163,1","10168,1",,"2,1,02,1","2,1,02,1",,"05,1,+00600,1,06,1",,,,"9,AGL   ,+99999,+99999","06,99,1,05,1,99,9,00600,1,99,9,99,9",,,,"9,9,999,9,+025,1","05,1",,,"SYN06442189 31595 62302 10206 20163 40168 70522 86800 333 58025 85620=",
