variant,score_col,threshold,min_precision,max_false_alarm,min_point_f1,mean_point_f1,min_event_f1,mean_event_f1,min_event_recall
full_residual_consensus,i9_fault_consensus_score,0.5151111111111112,0.75,0.026315789473684216,0.20920502092050208,0.22199381480807712,0.24242424242424243,0.4907773386034256,0.4
full_residual_consensus,i9_fault_consensus_score,0.534888888888889,0.7575757575757576,0.026315789473684216,0.20168067226890757,0.21097249472476215,0.24242424242424243,0.4848484848484848,0.4
full_residual_consensus,i9_fault_consensus_score,0.5546666666666666,0.75,0.02354570637119114,0.2033898305084746,0.20788960551972402,0.25806451612903225,0.4926686217008797,0.4
full_residual_consensus,i9_fault_consensus_score,0.5744444444444444,0.7931034482758621,0.022160664819944602,0.20425531914893616,0.20526667302738288,0.26666666666666666,0.5142857142857143,0.4
full_residual_consensus,i9_fault_consensus_score,0.5942222222222222,0.7931034482758621,0.02354570637119114,0.19658119658119658,0.2014296117435131,0.25806451612903225,0.5099846390168972,0.4
full_residual_consensus,i9_fault_consensus_score,0.614,0.7931034482758621,0.02354570637119114,0.19658119658119658,0.2014296117435131,0.25806451612903225,0.5099846390168972,0.4
full_residual_consensus,i9_fault_consensus_score,0.6337777777777778,0.8461538461538461,0.022160664819944602,0.19047619047619047,0.19523809523809524,0.26666666666666666,0.5083333333333333,0.4
full_residual_consensus,i9_fault_consensus_score,0.6535555555555556,0.8461538461538461,0.020775623268698064,0.19130434782608696,0.1956521739130435,0.27586206896551724,0.5129310344827587,0.4
full_residual_consensus,i9_fault_consensus_score,0.6733333333333333,0.9166666666666666,0.020775623268698064,0.19130434782608696,0.19656960510570404,0.27586206896551724,0.5326678765880217,0.4
full_residual_consensus,i9_fault_consensus_score,0.6931111111111111,0.9130434782608695,0.020775623268698064,0.19130434782608696,0.19242636746143058,0.27586206896551724,0.5433364398881639,0.4
full_residual_consensus,i9_fault_consensus_score,0.7128888888888889,0.9130434782608695,0.020775623268698064,0.19130434782608696,0.19242636746143058,0.27586206896551724,0.5433364398881639,0.4
full_residual_consensus,i9_fault_consensus_score,0.7326666666666667,0.9130434782608695,0.020775623268698064,0.19130434782608696,0.19242636746143058,0.27586206896551724,0.5433364398881639,0.4
full_residual_consensus,i9_fault_consensus_score,0.7524444444444445,0.9090909090909091,0.020775623268698064,0.18518518518518517,0.18824476650563607,0.27586206896551724,0.5268199233716475,0.4
full_residual_consensus,i9_fault_consensus_score,0.7722222222222223,0.9090909090909091,0.019390581717451526,0.18340611353711792,0.18429564936115156,0.2857142857142857,0.5317460317460316,0.4
full_residual_consensus,i9_fault_consensus_score,0.792,0.9,0.01662049861495845,0.16740088105726872,0.16781259006134464,0.3076923076923077,0.5252747252747253,0.4
full_residual_consensus,i9_fault_consensus_score,0.8117777777777778,0.9473684210526315,0.01662049861495845,0.16740088105726872,0.16820748278215547,0.3076923076923077,0.5361990950226245,0.4
full_residual_consensus,i9_fault_consensus_score,0.8315555555555556,0.9473684210526315,0.01662049861495845,0.16740088105726872,0.16820748278215547,0.3076923076923077,0.5361990950226245,0.4
full_residual_consensus,i9_fault_consensus_score,0.8513333333333334,0.9473684210526315,0.015235457063711913,0.1592920353982301,0.16415305995263618,0.32,0.5423529411764706,0.4
full_residual_consensus,i9_fault_consensus_score,0.8711111111111112,1.0,0.015235457063711913,0.1511111111111111,0.16046121593291404,0.25,0.5073529411764706,0.3
full_residual_consensus,i9_fault_consensus_score,0.890888888888889,1.0,0.015235457063711913,0.1511111111111111,0.16046121593291404,0.25,0.5073529411764706,0.3
full_residual_consensus,i9_fault_consensus_score,0.9106666666666667,1.0,0.013850415512465375,0.14285714285714285,0.15633423180592992,0.2608695652173913,0.5127877237851662,0.3
full_residual_consensus,i9_fault_consensus_score,0.9304444444444445,1.0,0.012465373961218839,0.13452914798206278,0.1521702343683899,0.2727272727272727,0.518716577540107,0.3
full_residual_consensus,i9_fault_consensus_score,0.9502222222222223,1.0,0.012465373961218839,0.13452914798206278,0.1521702343683899,0.2727272727272727,0.518716577540107,0.3
full_residual_consensus,i9_fault_consensus_score,0.97,1.0,0.009695290858725763,0.11764705882352941,0.1437291897891232,0.3,0.5323529411764706,0.3
l2_calibrated_stack,i9_fault_stack_score,0.08,0.011083245692096108,1.2197752658908387,0.021823974512146554,0.02618375252783855,0.025608194622279132,0.046026688673265814,1.0
l2_calibrated_stack,i9_fault_stack_score,0.09977777777777778,0.016456117021276594,1.2606481558779825,0.03188405797101449,0.038722861664218955,0.02357320099255583,0.03782826716294458,0.95
l2_calibrated_stack,i9_fault_stack_score,0.11955555555555555,0.02293698919061429,1.1139866094535256,0.0436418359668924,0.05175814637552732,0.026592022393282018,0.041867439768069586,0.95
l2_calibrated_stack,i9_fault_stack_score,0.13933333333333334,0.03175196115054165,0.9144307348104119,0.059212817833507486,0.0705900154741308,0.03220338983050848,0.04977172858528791,0.95
l2_calibrated_stack,i9_fault_stack_score,0.15911111111111112,0.039097744360902256,0.7797906266174679,0.07126541799908634,0.09054295187177125,0.03754940711462451,0.05707257589773779,0.9
l2_calibrated_stack,i9_fault_stack_score,0.1788888888888889,0.043758043758043756,0.6507605229325631,0.07780320366132723,0.10443240130641722,0.04465334900117509,0.06377745170266008,0.8
l2_calibrated_stack,i9_fault_stack_score,0.19866666666666666,0.05052974735126324,0.553787587865026,0.08726249120337791,0.12067527075892165,0.052054794520547946,0.07666030865267903,0.8
l2_calibrated_stack,i9_fault_stack_score,0.21844444444444444,0.05813953488372093,0.4832618169068172,0.09787928221859707,0.1333433108340692,0.056162246489859596,0.08111142627523284,0.7
l2_calibrated_stack,i9_fault_stack_score,0.23822222222222222,0.06470588235294118,0.4151403335949109,0.1053639846743295,0.1439771091099885,0.06474820143884892,0.09169613461772955,0.7
l2_calibrated_stack,i9_fault_stack_score,0.258,0.0743801652892562,0.3582388592990834,0.11739130434782609,0.15731950538492223,0.07422680412371135,0.10442109436954797,0.7
l2_calibrated_stack,i9_fault_stack_score,0.2777777777777778,0.0804416403785489,0.3157631108810713,0.12318840579710146,0.16776704240472357,0.08333333333333334,0.11613475177304965,0.7
l2_calibrated_stack,i9_fault_stack_score,0.2975555555555556,0.08797127468581688,0.28050022540196684,0.13049267643142476,0.1778117832418904,0.09278350515463918,0.12972508591065293,0.7
l2_calibrated_stack,i9_fault_stack_score,0.31733333333333336,0.0995850622406639,0.2500459152154676,0.14201183431952663,0.18521204529346805,0.10285714285714284,0.13142857142857142,0.6
l2_calibrated_stack,i9_fault_stack_score,0.33711111111111114,0.11085450346420324,0.22520160953700769,0.15311004784688995,0.19283409369088683,0.11285266457680251,0.14214061800268696,0.6
l2_calibrated_stack,i9_fault_stack_score,0.3568888888888889,0.12368421052631579,0.1963501577813768,0.16376306620209058,0.19864800016691356,0.127208480565371,0.14693757361601884,0.6
l2_calibrated_stack,i9_fault_stack_score,0.3766666666666667,0.1274787535410765,0.18352729033442974,0.16453382084095064,0.20116934944486556,0.1348314606741573,0.15565102445472573,0.6
l2_calibrated_stack,i9_fault_stack_score,0.3964444444444445,0.14469453376205788,0.1610872723022724,0.1782178217821782,0.21060423799389283,0.1506276150627615,0.16762149983907304,0.6
l2_calibrated_stack,i9_fault_stack_score,0.41622222222222227,0.15734265734265734,0.14666154642445695,0.1875,0.21400316455696203,0.16289592760180993,0.17519796380090497,0.6
l2_calibrated_stack,i9_fault_stack_score,0.43600000000000005,0.16981132075471697,0.13464010819294409,0.19607843137254902,0.22096280372614163,0.17475728155339806,0.1890735560309363,0.6
l2_calibrated_stack,i9_fault_stack_score,0.45577777777777784,0.17959183673469387,0.12261866996143123,0.20045558086560364,0.2154820277209374,0.18848167539267016,0.19768911355840404,0.6
l2_calibrated_stack,i9_fault_stack_score,0.4755555555555556,0.19730941704035873,0.11220009016078675,0.21103117505995203,0.22009892086330934,0.1818181818181818,0.1920326864147089,0.5
l2_calibrated_stack,i9_fault_stack_score,0.4953333333333334,0.2205128205128205,0.0977743642829713,0.21830985915492956,0.21969477533581955,0.17857142857142855,0.2017857142857143,0.5
l2_calibrated_stack,i9_fault_stack_score,0.5151111111111112,0.23837209302325582,0.08495149683602425,0.2109090909090909,0.21747640337804272,0.19607843137254902,0.2230392156862745,0.5
l2_calibrated_stack,i9_fault_stack_score,0.534888888888889,0.25153374233128833,0.0809443507588533,0.21481481481481482,0.22225334578275754,0.2,0.22949640287769782,0.5
l2_calibrated_stack,i9_fault_stack_score,0.5546666666666666,0.2582781456953642,0.071327200173643,0.2188679245283019,0.2224774405250205,0.21276595744680854,0.2481152621879712,0.5
l2_calibrated_stack,i9_fault_stack_score,0.5744444444444444,0.2814814814814815,0.06331290801930109,0.22137404580152673,0.22618854265760227,0.22222222222222224,0.26495726495726496,0.5
l2_calibrated_stack,i9_fault_stack_score,0.5942222222222222,0.296875,0.06090862037299852,0.2248062015503876,0.23041552313544225,0.23255813953488375,0.27417380660954715,0.5
l2_calibrated_stack,i9_fault_stack_score,0.614,0.31666666666666665,0.05449718664952499,0.2283464566929134,0.23519233662671146,0.24390243902439024,0.2917625402669121,0.5
l2_calibrated_stack,i9_fault_stack_score,0.6337777777777778,0.3333333333333333,0.05049004057235403,0.23015873015873015,0.23845598845598845,0.25,0.3032178217821782,0.5
l2_calibrated_stack,i9_fault_stack_score,0.6535555555555556,0.3523809523809524,0.04648289449518308,0.23107569721115537,0.23928366800357098,0.25641025641025644,0.3157051282051282,0.5
l2_calibrated_stack,i9_fault_stack_score,0.6733333333333333,0.36,0.04407860684888051,0.2248995983935743,0.23489877878862386,0.25641025641025644,0.32175351530190244,0.5
l2_calibrated_stack,i9_fault_stack_score,0.6931111111111111,0.3723404255319149,0.040071460771709554,0.21862348178137653,0.23083951866846603,0.21621621621621623,0.31265356265356264,0.4
