station_id,station_name,state,latitude,longitude,elevation_m,wigos_id,wmo_id,icao,network_type,primary_provider,is_reference_only
A0A4F55A,GANDHINAGAR,GUJARAT,23.27,72.65,73.1,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
A0A521C8,PATAN,GUJARAT,23.86,72.13,78.1,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
A0A53C6C,SURAT,GUJARAT,21.1439,72.75,220.0,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
A0A54AFC,SURENDRANAGAR,GUJARAT,22.73,71.62,69.7,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
A0A56C10,DAMAN_AWS,DAMAN_AND_DIU,20.4,72.8331,220.0,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
A0A59C94,PARALAKHEMUNDI,ODISHA,18.7783,84.0937,30.0,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
A0A5BA78,JHARSUGUDA,ODISHA,21.89,84.03,30.0,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
A0A65056,HOSUR,TAMIL_NADU,12.7183,77.8267,30.0,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
A0A665CC,COONOOR,TAMIL_NADU,11.36,76.805,30.0,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
A0A676BA,NEYVELI,TAMIL_NADU,11.62,79.545,30.0,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
A0A67868,TIRUNELVELI,TAMIL_NADU,8.745,77.7117,60.5,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
A0A6863E,VIRUDHUNAGAR,TAMIL_NADU,9.5517,77.9633,30.0,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
A0A69548,ARIYALUR,TAMIL_NADU,11.136,79.076,68.1,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
A0A69B9A,ENNORE_PORT,TAMIL_NADU,13.2567,80.3467,42.1,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
A0A6B3A4,COIMBATORE_AMFU,TAMIL_NADU,11.0133,76.9383,51.3,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
A0A6B890,CHITRAKOOT,UTTAR_PRADESH,25.17,80.91,27.9,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
A0A702D0,ALIGARH,UTTAR_PRADESH,27.9024,78.0968,62.2,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
A0A711A6,GORAKHPUR,UTTAR_PRADESH,26.77,83.43,83.2,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
A0A71F74,HATHRAS,UTTAR_PRADESH,27.58,77.98,53.0,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
A0A74F08,CHAMPAWAT,UTTARAKHAND,29.34,80.09,1600.0,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
A0A75C7E,KAPKOTE,UTTARAKHAND,29.9333,79.9,1600.0,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
A0A77440,JOLLYGRANT,UTTARAKHAND,30.19,78.18,79.8,,,,IMD_AWS,IMD_AWS_AUTHORIZED_API,False
