candidate,threshold,k,n,eligible,tp,fp,fn,tn,precision,recall,f1,predicted_incidents,true_positive_predicted_incidents,false_positive_predicted_incidents,true_fault_episodes,detected_fault_episodes,incident_precision,episode_recall,incident_f1,false_alert_incidents_per_station_day,observed_station_days,median_detection_latency_minutes,p90_detection_latency_minutes,rows,stations,fault_rows,weather_rows,fault_auprc,brier_score,ece_10_bin,weather_rows_flagged_as_fault,weather_false_fault_rate,persistence_k,persistence_n
tcn,0.22,3,5,False,22,7,410,60162,0.7586206896551724,0.05092592592592592,0.09544468546637744,3,2,1,38,2,0.6666666666666666,0.05263157894736842,0.09756097560975609,0.0004078303425774878,2452,1065.0,1197.0,60601,20,432,160,0.5130858120005825,0.00627084095120661,0.0022091327968645183,0,0.0,3,5
tcn,0.24,1,1,True,27,2,405,60167,0.9310344827586207,0.0625,0.11713665943600868,14,12,2,38,10,0.8571428571428571,0.2631578947368421,0.40268456375838924,0.0008156606851549756,2452,0.0,560.9999999999998,60601,20,432,160,0.5130858120005825,0.00627084095120661,0.0022091327968645183,0,0.0,1,1
tcn,0.24,2,3,False,16,4,416,60165,0.8,0.037037037037037035,0.07079646017699115,4,3,1,38,2,0.75,0.05263157894736842,0.09836065573770492,0.0004078303425774878,2452,480.0,840.0,60601,20,432,160,0.5130858120005825,0.00627084095120661,0.0022091327968645183,0,0.0,2,3
tcn,0.24,3,5,False,14,5,418,60164,0.7368421052631579,0.032407407407407406,0.06208425720620842,2,1,1,38,1,0.5,0.02631578947368421,0.05,0.0004078303425774878,2452,1020.0,1020.0,60601,20,432,160,0.5130858120005825,0.00627084095120661,0.0022091327968645183,0,0.0,3,5
tcn,0.26,1,1,True,21,1,411,60168,0.9545454545454546,0.04861111111111111,0.09251101321585903,10,9,1,38,8,0.9,0.21052631578947367,0.34123222748815163,0.0004078303425774878,2452,0.0,143.99999999999991,60601,20,432,160,0.5130858120005825,0.00627084095120661,0.0022091327968645183,0,0.0,1,1
tcn,0.26,2,3,True,12,3,420,60166,0.8,0.027777777777777776,0.053691275167785234,2,2,0,38,2,1.0,0.05263157894736842,0.1,0.0,2452,570.0,1002.0,60601,20,432,160,0.5130858120005825,0.00627084095120661,0.0022091327968645183,0,0.0,2,3
tcn,0.26,3,5,False,10,4,422,60165,0.7142857142857143,0.023148148148148147,0.04484304932735426,2,1,1,38,1,0.5,0.02631578947368421,0.05,0.0004078303425774878,2452,1140.0,1140.0,60601,20,432,160,0.5130858120005825,0.00627084095120661,0.0022091327968645183,0,0.0,3,5
tcn,0.28,1,1,True,18,1,414,60168,0.9473684210526315,0.041666666666666664,0.07982261640798226,8,7,1,38,7,0.875,0.18421052631578946,0.30434782608695654,0.0004078303425774878,2452,0.0,444.0000000000004,60601,20,432,160,0.5130858120005825,0.00627084095120661,0.0022091327968645183,0,0.0,1,1
tcn,0.28,2,3,True,11,3,421,60166,0.7857142857142857,0.02546296296296296,0.04932735426008968,2,2,0,38,2,1.0,0.05263157894736842,0.1,0.0,2452,585.0,1029.0,60601,20,432,160,0.5130858120005825,0.00627084095120661,0.0022091327968645183,0,0.0,2,3
tcn,0.28,3,5,False,9,4,423,60165,0.6923076923076923,0.020833333333333332,0.04044943820224719,2,1,1,38,1,0.5,0.02631578947368421,0.05,0.0004078303425774878,2452,1170.0,1170.0,60601,20,432,160,0.5130858120005825,0.00627084095120661,0.0022091327968645183,0,0.0,3,5
tcn,0.30000000000000004,1,1,True,17,1,415,60168,0.9444444444444444,0.03935185185185185,0.07555555555555556,8,7,1,38,7,0.875,0.18421052631578946,0.30434782608695654,0.0004078303425774878,2452,0.0,456.0000000000004,60601,20,432,160,0.5130858120005825,0.00627084095120661,0.0022091327968645183,0,0.0,1,1
tcn,0.30000000000000004,2,3,True,10,3,422,60166,0.7692307692307693,0.023148148148148147,0.0449438202247191,2,2,0,38,2,1.0,0.05263157894736842,0.1,0.0,2452,600.0,1056.0,60601,20,432,160,0.5130858120005825,0.00627084095120661,0.0022091327968645183,0,0.0,2,3
tcn,0.30000000000000004,3,5,False,8,4,424,60165,0.6666666666666666,0.018518518518518517,0.036036036036036036,2,1,1,38,1,0.5,0.02631578947368421,0.05,0.0004078303425774878,2452,1200.0,1200.0,60601,20,432,160,0.5130858120005825,0.00627084095120661,0.0022091327968645183,0,0.0,3,5
