fault_threshold,weather_threshold,k,n,window_minutes,enable_drift_rescue,drift_rescue_threshold,drift_min_fault_probability,weather_agreement_threshold,weather_probability_floor,recovery_points,search_stage,fault_precision,fault_recall,fault_f1,false_alerts_per_station_day,weather_f1,weather_precision,weather_recall,fault_to_weather_rate,weather_to_fault_rate,normal_to_fault_row_rate,worst_domain_fault_precision,worst_domain_fault_f1,worst_domain_false_alerts_per_station_day,worst_domain_normal_to_fault_rate,worst_domain_weather_to_fault_rate,objective,policy_eligible
0.75,0.9,2,4,720,True,10.0,0.30000000000000004,0.5,0.1,2,drift_challenge,0.06320541760722348,0.509090909090909,0.11244979919678716,0.13361236316806183,0.48994082840236686,0.32961783439490444,0.9539170506912442,0.32727272727272727,0.19815668202764977,0.021813804644608203,0.031746031746031744,0.0594059405940594,0.1890495867768595,0.031554885233539144,0.2619047619047619,-4.379429451891695,False
0.65,0.35,2,3,720,False,10.0,0.26,0.5,0.1,2,core,0.060267857142857144,0.4909090909090909,0.1073558648111332,0.13554410817772053,0.4615384615384615,0.3044117647058823,0.9539170506912442,0.32727272727272727,0.20276497695852536,0.019465077361204897,0.031331592689295036,0.058679706601466985,0.19163223140495866,0.028184946033840787,0.2619047619047619,-4.496219102910427,False
0.65,0.55,2,3,720,False,10.0,0.26,0.5,0.1,2,core,0.060267857142857144,0.4909090909090909,0.1073558648111332,0.13554410817772053,0.4615384615384615,0.3044117647058823,0.9539170506912442,0.32727272727272727,0.20276497695852536,0.019465077361204897,0.031331592689295036,0.058679706601466985,0.19163223140495866,0.028184946033840787,0.2619047619047619,-4.496219102910427,False
0.65,0.75,2,3,720,False,10.0,0.26,0.5,0.1,2,core,0.060267857142857144,0.4909090909090909,0.1073558648111332,0.13554410817772053,0.4615384615384615,0.3044117647058823,0.9539170506912442,0.32727272727272727,0.20276497695852536,0.019465077361204897,0.031331592689295036,0.058679706601466985,0.19163223140495866,0.028184946033840787,0.2619047619047619,-4.496219102910427,False
0.65,0.9,2,3,720,False,10.0,0.26,0.5,0.1,2,core,0.060267857142857144,0.4909090909090909,0.1073558648111332,0.13554410817772053,0.4615384615384615,0.3044117647058823,0.9539170506912442,0.32727272727272727,0.20276497695852536,0.019465077361204897,0.031331592689295036,0.058679706601466985,0.19163223140495866,0.028184946033840787,0.2619047619047619,-4.496219102910427,False
0.65,0.35,2,3,720,True,10.0,0.26,0.5,0.1,2,drift_challenge,0.060267857142857144,0.4909090909090909,0.1073558648111332,0.13554410817772053,0.4615384615384615,0.3044117647058823,0.9539170506912442,0.32727272727272727,0.20276497695852536,0.019465077361204897,0.031331592689295036,0.058679706601466985,0.19163223140495866,0.028184946033840787,0.2619047619047619,-4.496219102910427,False
0.65,0.55,2,3,720,True,10.0,0.26,0.5,0.1,2,drift_challenge,0.060267857142857144,0.4909090909090909,0.1073558648111332,0.13554410817772053,0.4615384615384615,0.3044117647058823,0.9539170506912442,0.32727272727272727,0.20276497695852536,0.019465077361204897,0.031331592689295036,0.058679706601466985,0.19163223140495866,0.028184946033840787,0.2619047619047619,-4.496219102910427,False
0.65,0.75,2,3,720,True,10.0,0.26,0.5,0.1,2,drift_challenge,0.060267857142857144,0.4909090909090909,0.1073558648111332,0.13554410817772053,0.4615384615384615,0.3044117647058823,0.9539170506912442,0.32727272727272727,0.20276497695852536,0.019465077361204897,0.031331592689295036,0.058679706601466985,0.19163223140495866,0.028184946033840787,0.2619047619047619,-4.496219102910427,False
0.65,0.35,2,4,720,False,10.0,0.26,0.5,0.1,2,core,0.060267857142857144,0.4909090909090909,0.1073558648111332,0.13554410817772053,0.48994082840236686,0.32961783439490444,0.9539170506912442,0.32727272727272727,0.20276497695852536,0.021857843281172015,0.031331592689295036,0.058679706601466985,0.19163223140495866,0.031554885233539144,0.2619047619047619,-4.501516128043505,False
0.65,0.55,2,4,720,False,10.0,0.26,0.5,0.1,2,core,0.060267857142857144,0.4909090909090909,0.1073558648111332,0.13554410817772053,0.48994082840236686,0.32961783439490444,0.9539170506912442,0.32727272727272727,0.20276497695852536,0.021857843281172015,0.031331592689295036,0.058679706601466985,0.19163223140495866,0.031554885233539144,0.2619047619047619,-4.501516128043505,False
0.65,0.75,2,4,720,False,10.0,0.26,0.5,0.1,2,core,0.060267857142857144,0.4909090909090909,0.1073558648111332,0.13554410817772053,0.48994082840236686,0.32961783439490444,0.9539170506912442,0.32727272727272727,0.20276497695852536,0.021857843281172015,0.031331592689295036,0.058679706601466985,0.19163223140495866,0.031554885233539144,0.2619047619047619,-4.501516128043505,False
0.65,0.9,2,4,720,False,10.0,0.26,0.5,0.1,2,core,0.060267857142857144,0.4909090909090909,0.1073558648111332,0.13554410817772053,0.48994082840236686,0.32961783439490444,0.9539170506912442,0.32727272727272727,0.20276497695852536,0.021857843281172015,0.031331592689295036,0.058679706601466985,0.19163223140495866,0.031554885233539144,0.2619047619047619,-4.501516128043505,False
0.65,0.35,1,2,720,False,10.0,0.26,0.5,0.1,2,core,0.07352941176470588,0.6363636363636364,0.13182674199623354,0.14198325820991628,0.3804347826086956,0.23675310033821872,0.967741935483871,0.4727272727272727,0.22119815668202766,0.023839581926543556,0.04433497536945813,0.08333333333333333,0.20041322314049587,0.03440637224866852,0.27380952380952384,-4.527740815192621,False
0.65,0.55,1,2,720,False,10.0,0.26,0.5,0.1,2,core,0.07352941176470588,0.6363636363636364,0.13182674199623354,0.14198325820991628,0.3804347826086956,0.23675310033821872,0.967741935483871,0.4727272727272727,0.22119815668202766,0.023839581926543556,0.04433497536945813,0.08333333333333333,0.20041322314049587,0.03440637224866852,0.27380952380952384,-4.527740815192621,False
0.65,0.75,1,2,720,False,10.0,0.26,0.5,0.1,2,core,0.07352941176470588,0.6363636363636364,0.13182674199623354,0.14198325820991628,0.3804347826086956,0.23675310033821872,0.967741935483871,0.4727272727272727,0.22119815668202766,0.023839581926543556,0.04433497536945813,0.08333333333333333,0.20041322314049587,0.03440637224866852,0.27380952380952384,-4.527740815192621,False
0.65,0.9,1,2,720,False,10.0,0.26,0.5,0.1,2,core,0.07352941176470588,0.6363636363636364,0.13182674199623354,0.14198325820991628,0.3804347826086956,0.23675310033821872,0.967741935483871,0.4727272727272727,0.22119815668202766,0.023839581926543556,0.04433497536945813,0.08333333333333333,0.20041322314049587,0.03440637224866852,0.27380952380952384,-4.527740815192621,False
0.55,0.35,2,3,720,False,10.0,0.22000000000000003,0.5,0.1,2,core,0.05921052631578947,0.4909090909090909,0.10567514677103718,0.13811976819059885,0.4615384615384615,0.3044117647058823,0.9539170506912442,0.32727272727272727,0.20276497695852536,0.019890784181321747,0.031007751937984496,0.058111380145278446,0.19369834710743802,0.028538436159683274,0.2619047619047619,-4.558563712505259,False
